xtf_id,altitude,yearOfConstruction,yearOfDismantling,manufacturer,model,diameter,hubHeight,cutInSpeed,ratedSpeed,cutOutSpeed,ratedPower,operationalStatus,facility,x,y
turbine_1,550,2003,,Aventa,AV-7,12,18,2,6,14,6.5,operationalStatus_normalbetrieb,facility_BEG,2731128.8418347235,1271648.5450638824
turbine_2,440,1996,2009,Aventa,SW-70,7,12,2,10,10,3,operationalStatus_stillgelegt,facility_BER,2685501.143304388,1283019.693279132
turbine_3,611,2002,,Aventa,AV-7,13,18,2,6,14,6.5,operationalStatus_normalbetrieb,facility_BRU,2692040.9764632857,1259078.8337028702
turbine_4,1155,1995,,Lagerwey,Lagerwey 18/80,18,19,3,0,25,80,operationalStatus_normalbetrieb,facility_CHU,2753193.540256478,1250437.6384445291
turbine_5,450,2005,,Enercon,E-70/E4,71,100,3,0,0,2000,operationalStatus_normalbetrieb,facility_COL,2568999.350192574,1112120.260908145
turbine_6,3000,1997,2006,Husumer Schiffswerft,HSW 30,12,0,0,0,0,30,operationalStatus_stillgelegt,facility_CTI,2675100.57105117,1180479.7692706678
turbine_7,810,1993,,Husumer Schiffswerft,HSW 30,12,22,5,15,22,30,operationalStatus_normalbetrieb,facility_DIE,2653290.7224926897,1227578.1016170552
turbine_8,1020,2005,,NEG Micon,NM 52/900,52,61,4,12,25,900,operationalStatus_normalbetrieb,facility_FEL,2649299.6222172887,1204529.9658650348
turbine_9,2331,2004,,Enercon,E-40,40,46,3,13,28,600,operationalStatus_normalbetrieb,facility_GUE,2690145.420818921,1167674.6302455517
turbine_10,420,1994,2013,Aventa,SW-60,6,12,2,6,14,2,operationalStatus_stillgelegt,facility_HET,2695001.0097399456,1265659.7941228584
turbine_11,1000,2004,,Aventa,AV-7,12,18,2,6,14,6.5,operationalStatus_normalbetrieb,facility_LCV,2562625.0835047713,1225414.758879442
turbine_12,1085,2005,,Aventa,AV-7,12,24,2,6,14,6.5,operationalStatus_normalbetrieb,facility_LFE,2562521.0339249973,1223630.758873628
turbine_13,417,2002,,Aventa,AV-7,12,53,2,6,14,6.5,operationalStatus_normalbetrieb,facility_MAR,2691455.134620456,1276802.7621499912
turbine_14,1248,1996,2013,Vestas,V44,44,45,4,16,25,600,operationalStatus_stillgelegt,facility_MTC,2567665.150331527,1225648.699265376
turbine_15,1257,1998,2013,Vestas,V47,47,45,4,16,25,660,operationalStatus_stillgelegt,facility_MTC,2567948.1526977713,1225743.6945986217
turbine_16,1255,2001,2016,Vestas,V52,52,50,4,16,25,850,operationalStatus_stillgelegt,facility_MTC,2571386.1688677943,1227511.6378713057
turbine_17,1274,2004,2016,Vestas,V66,66,67,4,16,25,1750,operationalStatus_stillgelegt,facility_MTC,2565803.0948022367,1223888.7589529683
turbine_18,1350,1994,,"Bonus, Dänemark",MK III,24,30,3,15,25,150,operationalStatus_normalbetrieb,facility_OGR,2597100.369715936,1231260.4122750135
turbine_20,632,2002,,Aventa,AV-7,12,18,2,6,14,6.5,operationalStatus_normalbetrieb,facility_RUT,2607190.3078911337,1232287.3550700704
turbine_21,951,1993,,Südwind,N715,7,18,4,12,30,15,operationalStatus_normalbetrieb,facility_SCH,2627581.4240166685,1212076.0877252207
turbine_22,2000,1990,,-,-,12,22,5,0,0,30,operationalStatus_normalbetrieb,facility_SIM,2645089.700185784,1121879.6204336414
turbine_23,1010,1986,,Husumer Schiffswerft,HSW 30,12,20,4,11,30,28,operationalStatus_normalbetrieb,facility_SOO,2622165.504977952,1245915.2972901703
turbine_24,2695,2002,2010,Aventa,AV-7,12,18,2,6,14,6.5,operationalStatus_stillgelegt,facility_STM,2781350.9588127127,1152949.6468857261
turbine_25,1000,2005,,Aventa,AV-7,12,18,2,6,14,6.5,operationalStatus_normalbetrieb,facility_SWM,2618438.445676604,1238295.2810145586
